11: ((0, 0), (0, 99))
12: ((0, 100), (0, 149))
13: ((0, 150), (0, 249))
14: ((0, 250), (0, 299))
12: ((0, 100), (0, 149))
13: ((0, 150), (0, 249))
14: ((0, 250), (0, 299))
12: ((0, 100), (0, 149))
14: ((0, 250), (0, 299))
12: ((0, 100), (0, 149))
14: ((0, 250), (0, 299))
21: ((1, 0), (1, 799))
22: ((0, 0), (0, 99))
23: ((0, 300), (0, 424))
24: ((0, 425), (0, 548))
12: ((0, 100), (0, 149))
14: ((0, 250), (0, 299))
23: ((0, 300), (0, 424))
24: ((0, 425), (0, 548))
21: ((1, 0), (1, 799))
12: ((0, 100), (0, 149))
14: ((0, 250), (0, 299))
23: ((0, 300), (0, 424))
24: ((0, 425), (0, 548))
21: ((1, 0), (1, 799))
12: ((0, 100), (0, 149))
14: ((0, 250), (0, 299))
24: ((0, 425), (0, 548))
21: ((1, 0), (1, 799))
12: ((0, 100), (0, 149))
14: ((0, 250), (0, 299))
24: ((0, 425), (0, 548))
21: ((1, 0), (1, 799))
31: ((2, 0), (2, 949))
32: ((0, 0), (0, 49))
33: ((0, 50), (0, 99))
34: ((0, 549), (0, 748))
35: ((0, 150), (0, 199))
36: ((3, 0), (3, 699))
37: ((4, 0), (4, 799))
32: ((0, 0), (0, 49))
33: ((0, 50), (0, 99))
12: ((0, 100), (0, 149))
35: ((0, 150), (0, 199))
14: ((0, 250), (0, 299))
24: ((0, 425), (0, 548))
34: ((0, 549), (0, 748))
31: ((2, 0), (2, 949))
36: ((3, 0), (3, 699))
37: ((4, 0), (4, 799))
32: ((0, 0), (0, 49))
33: ((0, 50), (0, 99))
12: ((0, 100), (0, 149))
35: ((0, 150), (0, 199))
14: ((0, 250), (0, 299))
24: ((0, 425), (0, 548))
34: ((0, 549), (0, 748))
36: ((3, 0), (3, 699))
37: ((4, 0), (4, 799))
32: ((0, 0), (0, 49))
33: ((0, 50), (0, 99))
12: ((0, 100), (0, 149))
35: ((0, 150), (0, 199))
14: ((0, 250), (0, 299))
24: ((0, 425), (0, 548))
36: ((3, 0), (3, 699))
37: ((4, 0), (4, 799))
32: ((0, 0), (0, 49))
33: ((0, 50), (0, 99))
12: ((0, 100), (0, 149))
35: ((0, 150), (0, 199))
14: ((0, 250), (0, 299))
24: ((0, 425), (0, 548))
36: ((3, 0), (3, 699))
37: ((4, 0), (4, 799))
